2024-05-22 19:35:25.352 [main] INFO  r.k.i.k.s.SkillShareApplication - Starting SkillShareApplication using Java 18.0.2 with PID 10172 (C:\Users\Andrey\IdeaProjects\SkillShare10\main-service\impl\build\classes\java\main started by Andrey in C:\Users\Andrey\IdeaProjects\SkillShare10\main-service)
2024-05-22 19:35:25.354 [main] INFO  r.k.i.k.s.SkillShareApplication - No active profile set, falling back to 1 default profile: "default"
2024-05-22 19:35:30.988 [main] INFO  r.k.i.k.s.SkillShareApplication - Started SkillShareApplication in 6.028 seconds (process running for 6.407)
2024-05-22 19:35:36.710 [http-nio-8080-exec-1] INFO  r.k.i.s.l.a.RestControllerLoggingAspect - Entering method [getAllNotCustom] of class [TagController]
2024-05-22 19:35:36.828 [http-nio-8080-exec-2] INFO  r.k.i.s.l.a.RestControllerLoggingAspect - Entering method [refresh] of class [AuthController]
2024-05-22 19:35:36.841 [http-nio-8080-exec-2] ERROR r.k.i.s.l.a.RestControllerLoggingAspect - Exception in method [refresh] of class [AuthController] with message: Invalid refresh token.
2024-05-22 19:35:36.843 [http-nio-8080-exec-1] INFO  r.k.i.s.l.a.RestControllerLoggingAspect - Method [getAllNotCustom] of class [TagController] executed in 134 ms
2024-05-22 19:43:01.605 [main] INFO  r.k.i.k.s.SkillShareApplication - Starting SkillShareApplication using Java 18.0.2 with PID 10160 (C:\Users\Andrey\IdeaProjects\SkillShare10\main-service\impl\build\classes\java\main started by Andrey in C:\Users\Andrey\IdeaProjects\SkillShare10\main-service)
2024-05-22 19:43:01.607 [main] INFO  r.k.i.k.s.SkillShareApplication - No active profile set, falling back to 1 default profile: "default"
2024-05-22 19:43:06.466 [main] INFO  r.k.i.k.s.SkillShareApplication - Started SkillShareApplication in 5.322 seconds (process running for 5.692)
2024-05-22 19:43:29.597 [main] INFO  r.k.i.k.s.SkillShareApplication - Starting SkillShareApplication using Java 18.0.2 with PID 4508 (C:\Users\Andrey\IdeaProjects\SkillShare10\main-service\impl\build\classes\java\main started by Andrey in C:\Users\Andrey\IdeaProjects\SkillShare10\main-service)
2024-05-22 19:43:29.599 [main] INFO  r.k.i.k.s.SkillShareApplication - No active profile set, falling back to 1 default profile: "default"
2024-05-22 19:43:35.030 [main] INFO  r.k.i.k.s.SkillShareApplication - Started SkillShareApplication in 5.827 seconds (process running for 6.191)
2024-05-22 19:43:38.505 [http-nio-8080-exec-1] INFO  r.k.i.s.l.a.RestControllerLoggingAspect - Entering method [getAllNotCustom] of class [TagController]
2024-05-22 19:43:38.601 [http-nio-8080-exec-10] INFO  r.k.i.s.l.a.RestControllerLoggingAspect - Entering method [refresh] of class [AuthController]
2024-05-22 19:43:38.615 [http-nio-8080-exec-10] ERROR r.k.i.s.l.a.RestControllerLoggingAspect - Exception in method [refresh] of class [AuthController] with message: Invalid refresh token.
2024-05-22 19:43:38.618 [http-nio-8080-exec-1] INFO  r.k.i.s.l.a.RestControllerLoggingAspect - Method [getAllNotCustom] of class [TagController] executed in 113 ms
2024-05-22 20:54:22.513 [main] INFO  r.k.i.s.m.SkillShareApplication - Starting SkillShareApplication using Java 18.0.2 with PID 17512 (C:\Users\Andrey\IdeaProjects\SkillShare10\main-service\impl\build\classes\java\main started by Andrey in C:\Users\Andrey\IdeaProjects\SkillShare10\main-service)
2024-05-22 20:54:22.515 [main] INFO  r.k.i.s.m.SkillShareApplication - No active profile set, falling back to 1 default profile: "default"
